Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1993","1993","tonnes","5777230","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1994","1994","tonnes","5172297","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1995","1995","tonnes","6913286","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1996","1996","tonnes","3532042","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1997","1997","tonnes","8791336","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1998","1998","tonnes","10370581","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","1999","1999","tonnes","8796526","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2000","2000","tonnes","11019021","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2001","2001","tonnes","10790517","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2002","2002","tonnes","9051610","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2003","2003","tonnes","6169213","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2004","2004","tonnes","9976599","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2005","2005","tonnes","10431146","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2006","2006","tonnes","9697359","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2007","2007","tonnes","9645491","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2008","2008","tonnes","8772264","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2009","2009","tonnes","5118007","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2010","2010","tonnes","4038997","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2011","2011","tonnes","8411136","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2012","2012","tonnes","11461359","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2013","2013","tonnes","2388934","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2014","2014","tonnes","1852411","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2015","2015","tonnes","4311207","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2016","2016","tonnes","10266234","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2017","2017","tonnes","13099133","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","15","Wheat","2018","2018","tonnes","11724765","","Official data"
